Column1,Column13,Column12,Column2,,
275.411,1,275.411,97.995,,
275.521,1,275.521,92.956,,
275.631,1,275.631,85.758,,
275.74,1,275.74,77.381,,
275.85,1,275.85,67.2,,
275.959,1,275.959,58.337,,
276.069,1,276.069,49.695,,
276.178,1,276.178,40.611,,
276.288,1,276.288,30.539,,
276.397,1,276.397,20.575,,
276.507,1,276.507,12.422,,
276.617,1,276.617,4.216,,
276.726,1,276.726,-1.739,,
276.836,1,276.836,-5.558,,
276.945,1,276.945,-9.301,,
277.055,1,277.055,-14.809,,
277.164,1,277.164,-20.972,,
277.274,1,277.274,-26.542,,
277.383,1,277.383,-31.09,,
277.493,1,277.493,-33.637,,
277.603,1,277.603,-39.404,,
277.712,1,277.712,-45.061,,
277.822,1,277.822,-51.128,,
277.931,1,277.931,-58.185,,
278.041,1,278.041,-63.467,,
278.15,1,278.15,-66.382,,
278.26,1,278.26,-67.929,,
278.369,1,278.369,-68.307,,
278.479,1,278.479,-70.777,,
278.589,1,278.589,-74.033,,
278.698,1,278.698,-76.701,,
278.808,1,278.808,-78.631,,
278.917,1,278.917,-80.751,,
279.027,1,279.027,-81.262,,
279.136,1,279.136,-80.879,,
279.246,1,279.246,-80.142,,
279.355,1,279.355,-78.146,,
279.465,1,279.465,-79.476,,
279.575,1,279.575,-79.911,,
279.684,1,279.684,-79.72,,
279.794,1,279.794,-80.023,,
279.903,1,279.903,-80.177,,
280.013,1,280.013,-79.559,,
280.122,1,280.122,-78.137,,
280.232,1,280.232,-76.74,,
280.341,1,280.341,-72.599,,
280.451,1,280.451,-69.1,,
280.561,1,280.561,-62.562,,
280.67,1,280.67,-56.121,,
280.78,1,280.78,-52.404,,
280.889,1,280.889,-50.029,,
280.999,1,280.999,-46.937,,
281.108,1,281.108,-43.765,,
281.218,1,281.218,-39.007,,
281.327,1,281.327,-35.842,,
281.437,1,281.437,-34.932,,
281.547,1,281.547,-32.461,,
281.656,1,281.656,-25.461,,
281.766,1,281.766,-14.833,,
281.875,1,281.875,-3.914,,
281.985,1,281.985,6.565,,
282.094,1,282.094,17.275,,
282.204,1,282.204,28.367,,
282.313,1,282.313,41.505,,
282.423,1,282.423,55.946,,
282.533,1,282.533,67.496,,
282.642,1,282.642,76.674,,
282.752,1,282.752,85.063,,
282.861,1,282.861,90.548,,
282.971,1,282.971,95.877,,
283.08,1,283.08,100.325,,
283.19,1,283.19,103.131,,
283.299,1,283.299,105.636,,
283.409,1,283.409,109.203,,
283.519,1,283.519,111.43,,
283.628,1,283.628,110.587,,
283.738,1,283.738,107.674,,
283.847,1,283.847,104.081,,
283.957,1,283.957,100.016,,
284.066,1,284.066,98.044,,
284.176,1,284.176,100.093,,
284.285,1,284.285,105.031,,
284.395,1,284.395,111.653,,
284.505,1,284.505,117.879,,
284.614,1,284.614,123.305,,
284.724,1,284.724,130.164,,
284.833,1,284.833,138.988,,
284.943,1,284.943,147.749,,
285.052,1,285.052,156.759,,
285.162,1,285.162,164.385,,
285.271,1,285.271,172.076,,
285.381,1,285.381,180.396,,
285.491,1,285.491,191.521,,
285.6,1,285.6,201.001,,
285.71,1,285.71,207.656,,
285.819,1,285.819,213.955,,
285.929,1,285.929,216.383,,
286.038,1,286.038,219.94,,
286.148,1,286.148,224.305,,
286.257,1,286.257,227.646,,
286.367,1,286.367,231.834,,
286.477,1,286.477,235.134,,
286.586,1,286.586,234.517,,
286.696,1,286.696,236.08,,
286.805,1,286.805,240.405,,
286.915,1,286.915,241.771,,
287.024,1,287.024,242.393,,
287.134,1,287.134,241.88,,
287.243,1,287.243,242.032,,
287.353,1,287.353,244.367,,
287.463,1,287.463,249.218,,
287.572,1,287.572,253.942,,
287.682,1,287.682,255.67,,
287.791,1,287.791,254.945,,
287.901,1,287.901,251.359,,
288.01,1,288.01,249.249,,
288.12,1,288.12,250.201,,
288.229,1,288.229,253.611,,
288.339,1,288.339,257.265,,
288.449,1,288.449,259.644,,
288.558,1,288.558,259.505,,
288.668,1,288.668,257.823,,
288.777,1,288.777,254.209,,
288.887,1,288.887,247.653,,
288.996,1,288.996,237.573,,
289.106,1,289.106,225.951,,
289.215,1,289.215,213.572,,
289.325,1,289.325,200.176,,
289.435,1,289.435,188.037,,
289.544,1,289.544,178.907,,
289.654,1,289.654,169.699,,
289.763,1,289.763,162.74,,
289.873,1,289.873,152.935,,
289.982,1,289.982,144.259,,
290.092,1,290.092,132.526,,
290.201,1,290.201,117.571,,
290.311,1,290.311,100.3,,
290.421,1,290.421,82.911,,
290.53,1,290.53,67.931,,
290.64,1,290.64,49.59,,
290.749,1,290.749,30.813,,
290.859,1,290.859,13.942,,
290.968,1,290.968,-1.609,,
291.078,1,291.078,-18.267,,
291.187,1,291.187,-31.819,,
291.297,1,291.297,-46.465,,
291.407,1,291.407,-63.284,,
291.516,1,291.516,-81.364,,
291.626,1,291.626,-101.576,,
291.735,1,291.735,-119.326,,
291.845,1,291.845,-132.569,,
291.954,1,291.954,-144.143,,
292.064,1,292.064,-155.975,,
292.173,1,292.173,-168.761,,
292.283,1,292.283,-180.373,,
292.393,1,292.393,-192.28,,
292.502,1,292.502,-205.907,,
292.612,1,292.612,-219.041,,
292.721,1,292.721,-232.204,,
292.831,1,292.831,-245.532,,
292.94,1,292.94,-260.891,,
293.05,1,293.05,-276.54,,
293.159,1,293.159,-292.994,,
293.269,1,293.269,-311.835,,
293.379,1,293.379,-329.119,,
293.488,1,293.488,-341.216,,
293.598,1,293.598,-350.929,,
293.707,1,293.707,-358.171,,
293.817,1,293.817,-365.721,,
293.926,1,293.926,-373.359,,
294.036,1,294.036,-380.299,,
294.145,1,294.145,-383.537,,
294.255,1,294.255,-388.564,,
294.365,1,294.365,-391.121,,
294.474,1,294.474,-391.422,,
294.584,1,294.584,-387.74,,
294.693,1,294.693,-382.526,,
294.803,1,294.803,-377.038,,
294.912,1,294.912,-371.648,,
295.022,1,295.022,-368.4,,
295.131,1,295.131,-366.395,,
295.241,1,295.241,-368.109,,
295.351,1,295.351,-372.461,,
295.46,1,295.46,-375.884,,
295.57,1,295.57,-376.981,,
295.679,1,295.679,-375.285,,
295.789,1,295.789,-369.923,,
295.898,1,295.898,-364.156,,
296.008,1,296.008,-358.936,,
296.117,1,296.117,-351.342,,
296.227,1,296.227,-346.008,,
296.337,1,296.337,-342.44,,
296.446,1,296.446,-339.017,,
296.556,1,296.556,-338.586,,
296.665,1,296.665,-340.293,,
296.775,1,296.775,-340.315,,
296.884,1,296.884,-337.406,,
296.994,1,296.994,-332.274,,
297.103,1,297.103,-329.384,,
297.213,1,297.213,-326.05,,
297.322,1,297.322,-320.95,,
297.432,1,297.432,-313.033,,
297.542,1,297.542,-303.418,,
297.651,1,297.651,-295.527,,
297.761,1,297.761,-288.735,,
297.87,1,297.87,-282.663,,
297.98,1,297.98,-273.036,,
298.089,1,298.089,-265.214,,
298.199,1,298.199,-258.617,,
298.308,1,298.308,-252.142,,
298.418,1,298.418,-242.62,,
298.528,1,298.528,-232.562,,
298.637,1,298.637,-225.46,,
298.747,1,298.747,-219.696,,
298.856,1,298.856,-216.401,,
298.966,1,298.966,-211.749,,
299.075,1,299.075,-208.643,,
299.185,1,299.185,-203.91,,
299.294,1,299.294,-197.463,,
299.404,1,299.404,-191.937,,
299.514,1,299.514,-188.296,,
299.623,1,299.623,-183.818,,
299.733,1,299.733,-179.292,,
299.842,1,299.842,-172.399,,
299.952,1,299.952,-162.384,,
300.061,1,300.061,-155.124,,
300.171,1,300.171,-151.782,,
300.28,1,300.28,-146.66,,
300.39,1,300.39,-142.671,,
300.5,1,300.5,-139.178,,
300.609,1,300.609,-138.074,,
300.719,1,300.719,-135.776,,
300.828,1,300.828,-137.295,,
300.938,1,300.938,-140.9,,
301.047,1,301.047,-138.556,,
301.157,1,301.157,-129.903,,
301.266,1,301.266,-121.069,,
301.376,1,301.376,-110.61,,
301.486,1,301.486,-100.748,,
301.595,1,301.595,-91.183,,
301.705,1,301.705,-80.761,,
301.814,1,301.814,-67.467,,
