Column1,Column12,Column13,Column2
284.2492,1,284.2492,-1421.442
284.3587,1,284.3587,-1421.627
284.4682,1,284.4682,-1421.861
284.5777,1,284.5777,-1422.116
284.6872,1,284.6872,-1422.372
284.7967,1,284.7967,-1422.573
284.9062,1,284.9062,-1422.747
285.0157,1,285.0157,-1422.872
285.1252,1,285.1252,-1422.996
285.2347,1,285.2347,-1423.176
285.3442,1,285.3442,-1423.278
285.4537,1,285.4537,-1423.392
285.5632,1,285.5632,-1423.5
285.6727,1,285.6727,-1423.731
285.7822,1,285.7822,-1424.004
285.8917,1,285.8917,-1424.245
286.0012,1,286.0012,-1424.396
286.1107,1,286.1107,-1424.467
286.2202,1,286.2202,-1424.491
286.3297,1,286.3297,-1424.477
286.4392,1,286.4392,-1424.486
286.5487,1,286.5487,-1424.531
286.6582,1,286.6582,-1424.502
286.7677,1,286.7677,-1424.431
286.8772,1,286.8772,-1424.403
286.9867,1,286.9867,-1424.4
287.0962,1,287.0962,-1424.307
287.2057,1,287.2057,-1424.177
287.3152,1,287.3152,-1424.079
287.4247,1,287.4247,-1423.933
287.5342,1,287.5342,-1423.715
287.6437,1,287.6437,-1423.493
287.7532,1,287.7532,-1423.295
287.8627,1,287.8627,-1423.175
287.9722,1,287.9722,-1423.026
288.0817,1,288.0817,-1422.933
288.1912,1,288.1912,-1422.875
288.3007,1,288.3007,-1422.824
288.4102,1,288.4102,-1422.715
288.5197,1,288.5197,-1422.499
288.6292,1,288.6292,-1422.222
288.7387,1,288.7387,-1421.959
288.8482,1,288.8482,-1421.764
288.9577,1,288.9577,-1421.573
289.0672,1,289.0672,-1421.413
289.1767,1,289.1767,-1421.361
289.2862,1,289.2862,-1421.332
289.3957,1,289.3957,-1421.263
289.5052,1,289.5052,-1421.097
289.6147,1,289.6147,-1421.08
289.7242,1,289.7242,-1421.17
289.8337,1,289.8337,-1421.234
289.9432,1,289.9432,-1421.246
290.0527,1,290.0527,-1421.324
290.1622,1,290.1622,-1421.489
290.2717,1,290.2717,-1421.551
290.3812,1,290.3812,-1421.515
290.4907,1,290.4907,-1421.419
290.6002,1,290.6002,-1421.315
290.7097,1,290.7097,-1421.282
290.8192,1,290.8192,-1421.314
290.9287,1,290.9287,-1421.363
291.0382,1,291.0382,-1421.415
